description,filename,id,species,source,species_code,cleaned_filename,contigs_greater_0_bp,contigs_greater_1000_bp,contigs_greater_5000_bp,contigs_greater_10000_bp,contigs_greater_25000_bp,contigs_greater_50000_bp,total_length_greater_0_bp,total_length_greater_1000_bp,total_length_greater_5000_bp,total_length_greater_10000_bp,total_length_greater_25000_bp,total_length_greater_50000_bp,total_contigs,largest_contig,total_length,N50,N75,L50,L75,number_Ns_per_100_kbp
"Pseudomonas sp. 286 isolate p26.A7, whole genome shotgun sequence",GCF_900588075.1_p26.A7_genomic.fna,NZ_UUDQ01000059.1,sp.,REFSEQ,4,4_UUDQ01000059,59,54,50,45,40,31,5981250,5980422,5971284,5933272,5856368,5517071,54,761573,5980422,196743,115255,9,19,0.03
"Pseudomonas sp. 286 isolate p21.G10, whole genome shotgun sequence",GCF_900584955.1_p21.G10_genomic.fna,NZ_UTRU01000045.1,sp.,REFSEQ,4,4_UTRU01000045,45,31,27,25,25,23,5949773,5944996,5936470,5922109,5922109,5849885,34,714674,5946768,440911,179101,6,12,0.0
"Pseudomonas sp. 286 isolate p3.H5, whole genome shotgun sequence",GCF_900590575.1_p3.H5_genomic.fna,NZ_UUNK01000042.1,sp.,REFSEQ,4,4_UUNK01000042,44,24,17,15,14,12,5973840,5967359,5952061,5934837,5915091,5822807,27,1076823,5969023,725721,448870,4,6,0.0
"Pseudomonas aeruginosa strain 95 scaffold_0, whole genome shotgun sequence",GCF_004350895.1_ASM435089v1_genomic.fna,NZ_SCYV01000001.1,aeruginosa,REFSEQ,1,1_SCYV01000001,1633,1299,375,116,6,1,6042458,5801252,3540823,1747813,201486,51934,1633,51934,6042458,6174,3116,282,630,35.56
"Pseudomonas aeruginosa strain WH-SGI-V-07700 WH-SGI-V-07700_contig1, whole genome shotgun sequence",GCF_001452645.1_WH-SGI-V-07700_genomic.fna,NZ_LLSU01000001.1,aeruginosa,REFSEQ,1,1_LLSU01000001,121,69,52,45,39,31,6950423,6929567,6881629,6836267,6751194,6446816,80,662776,6937026,260188,140695,9,18,0.0
"Pseudomonas sp. 286 isolate p12.G5, whole genome shotgun sequence",GCF_900581685.1_p12.G5_genomic.fna,NZ_UTFB01000037.1,sp.,REFSEQ,4,4_UTFB01000037,39,18,15,15,15,15,5945694,5938562,5932337,5932337,5932337,5932337,21,1770354,5940209,640179,274443,3,7,0.0
"Pseudomonas protegens strain CHA0-GFP scaffold_0, whole genome shotgun sequence",GCF_003666515.1_ASM366651v1_genomic.fna,NZ_RCSR01000001.1,protegens,REFSEQ,45,45_RCSR01000001,77,51,34,30,27,24,6834659,6823363,6790809,6763750,6718333,6589331,60,1093762,6829646,343153,205917,6,13,5.37
"Pseudomonas aeruginosa isolate XDR-PA, whole genome shotgun sequence",GCF_900707765.1_CAT06-021_genomic.fna,NZ_CAADMS010000001.1,aeruginosa,REFSEQ,1,1_CAADMS010000001,909,794,426,201,25,1,6218834,6134836,5191965,3585675,839477,54077,909,54077,6218834,12084,6553,158,334,0.0
"Pseudomonas aeruginosa strain AZPAE12153 AZPAE12153_contig_1, whole genome shotgun sequence",GCF_000796925.1_AZPAE12153_genomic.fna,NZ_JUAJ01000001.1,aeruginosa,REFSEQ,1,1_JUAJ01000001,61,51,42,39,33,28,6193644,6186584,6169495,6151282,6050604,5859982,60,662048,6193413,243920,143770,8,15,29.27
"Pseudomonas sp. ERMR1:02 unitig_0, whole genome shotgun sequence",GCF_002277815.1_ASM227781v1_genomic.fna,NZ_NKJI01000005.1,sp.,REFSEQ,4,4_NKJI01000005,56,55,51,45,36,29,6730269,6729281,6720810,6682028,6538376,6258259,56,747396,6730269,260883,138172,8,16,0.0
"Pseudomonas aeruginosa strain PA_94 NODE_100_length_9015_cov_7.63974, whole genome shotgun sequence",GCF_003585015.1_ASM358501v1_genomic.fna,NZ_LSQE01000001.1,aeruginosa,REFSEQ,1,1_LSQE01000001,161,140,116,93,66,38,6803572,6794343,6742313,6565596,6155027,5179366,145,387497,6797680,131313,50760,16,37,0.0
"Pseudomonas sp. 286 isolate p27.B6, whole genome shotgun sequence",GCF_900588865.1_p27.B6_genomic.fna,NZ_UUGR01000074.1,sp.,REFSEQ,4,4_UUGR01000074,75,41,31,29,26,25,6071915,6059344,6037835,6025698,5972096,5925394,49,713439,6064181,297777,202954,7,14,0.0
"Pseudomonas aeruginosa strain 14649 contig_11, whole genome shotgun sequence",GCF_001414105.1_ASM141410v1_genomic.fna,NZ_LKPS01000001.1,aeruginosa,REFSEQ,1,1_LKPS01000001,15,8,7,7,7,7,6227204,6224459,6222120,6222120,6222120,6222120,9,2304410,6225178,1379480,717587,2,4,85.52
"Pseudomonas aeruginosa isolate 423, whole genome shotgun sequence",GCF_900147495.1_423_genomic.fna,NZ_FRTS01000244.1,aeruginosa,REFSEQ,1,1_FRTS01000244,249,216,165,131,86,41,6282789,6263847,6130952,5872670,5147053,3588416,233,223103,6275812,56798,29991,33,70,0.0
"Pseudomonas chlororaphis subsp. piscium strain PCL1391 chromosome, complete genome",GCF_003850445.1_ASM385044v1_genomic.fna,NZ_CP027736.1,chlororaphis,REFSEQ,14,14_CP027736,1,1,1,1,1,1,6870622,6870622,6870622,6870622,6870622,6870622,1,6870622,6870622,6870622,6870622,1,1,0.0
"Pseudomonas sp. FW306-2-2C-D06C NODE_100_length_5688_cov_11.3837, whole genome shotgun sequence",GCF_002883375.1_FW306-2-2C-D06C_genomic.fna,NZ_POGE01000100.1,sp.,REFSEQ,4,4_POGE01000100,147,116,102,90,73,51,6801640,6791281,6747141,6651316,6359678,5575993,123,374534,6795440,91505,61583,21,43,0.0
"Pseudomonas aeruginosa strain KCJ3K10 NODE_100_length_22633_cov_5.489114, whole genome shotgun sequence",GCF_008802475.1_ASM880247v1_genomic.fna,NZ_VZIM01000100.1,aeruginosa,REFSEQ,1,1_VZIM01000100,340,240,185,150,89,46,6932990,6892384,6733696,6485746,5424417,3864822,266,242687,6911399,55930,28683,39,81,0.0
"Pseudomonas sp. 286 isolate p25.B2, whole genome shotgun sequence",GCF_900587315.1_p25.B2_genomic.fna,NZ_UUAS01001111.1,sp.,REFSEQ,4,4_UUAS01001111,1113,891,329,139,30,5,5873228,5745310,4307927,2953864,1300229,401252,1019,115179,5838924,10253,4760,136,344,0.03
"Pseudomonas sp. 286 isolate p11.D9, whole genome shotgun sequence",GCF_900580635.1_p11.D9_genomic.fna,NZ_UTBC01000060.1,sp.,REFSEQ,4,4_UTBC01000060,61,50,47,43,39,36,5980273,5977176,5969151,5941085,5866303,5758068,50,518708,5977176,227849,126735,10,19,0.05
"Pseudomonas aeruginosa strain HUM-253 PA3_G3_NODE_10_length_195034_cov_48.6796_ID_19, whole genome shotgun sequence",GCF_003631445.1_ASM363144v1_genomic.fna,NZ_RABA01000044.1,aeruginosa,REFSEQ,1,1_RABA01000044,94,94,66,58,48,36,6714069,6714069,6646200,6594883,6419864,5942342,94,476174,6714069,183526,97927,11,24,0.0
"Pseudomonas aeruginosa strain 6092.3 IPC1340_1.1, whole genome shotgun sequence",GCF_004371975.1_ASM437197v1_genomic.fna,NZ_RWNV01000001.1,aeruginosa,REFSEQ,1,1_RWNV01000001,28,24,21,21,20,17,6441383,6438350,6430288,6430288,6413485,6290009,28,940299,6441383,568796,267657,4,8,1.57
"Pseudomonas syringae pv. actinidiae strain S14 S14_0001, whole genome shotgun sequence",GCF_004919585.1_ASM491958v1_genomic.fna,NZ_SNQT01000001.1,syringae,REFSEQ,0,0_SNQT01000001,372,313,196,156,85,34,6137878,6096729,5812593,5514815,4351392,2546550,372,141878,6137878,41254,21118,46,97,0.0
"Pseudomonas aeruginosa isolate 393, whole genome shotgun sequence",GCF_900147185.1_393_genomic.fna,NZ_FRSN01000241.1,aeruginosa,REFSEQ,1,1_FRSN01000241,241,217,154,123,77,41,6556433,6541105,6378954,6152157,5403010,4121937,234,371055,6553303,66785,33862,26,61,0.0
"Pseudomonas aeruginosa strain CCBH17348 scaffold1.1, whole genome shotgun sequence",GCF_002251125.1_ASM225112v1_genomic.fna,NZ_NOKO01000001.1,aeruginosa,REFSEQ,1,1_NOKO01000001,37,35,29,29,25,22,6514739,6513519,6498514,6498514,6439495,6301744,37,597631,6514739,380556,223565,7,12,4.04
"Pseudomonas sp. 286 isolate p22.F1, whole genome shotgun sequence",GCF_900585505.1_p22.F1_genomic.fna,NZ_UTTX01000059.1,sp.,REFSEQ,4,4_UTTX01000059,59,31,21,20,19,17,5976847,5967515,5940681,5931119,5911373,5819089,34,1054469,5969179,448870,306761,5,9,0.0
"Pseudomonas sp. 286 isolate p9.C10, whole genome shotgun sequence",GCF_900602365.1_p9.C10_genomic.fna,NZ_UWGR01000049.1,sp.,REFSEQ,4,4_UWGR01000049,49,20,17,17,17,15,5948598,5938435,5932148,5932148,5932148,5847386,23,1213988,5940082,639929,274443,3,6,0.0
"Pseudomonas sp. FW104-15G4B NODE_10_length_207715_cov_26.9557, whole genome shotgun sequence",GCF_002901495.1_ASM290149v1_genomic.fna,NZ_PPSA01000010.1,sp.,REFSEQ,4,4_PPSA01000010,96,73,63,59,50,39,6314616,6306258,6281013,6256829,6104088,5692380,76,345042,6308354,168002,95660,13,25,0.0
"Pseudomonas aeruginosa strain ATCC BAA-2108 IPC1576_1.1, whole genome shotgun sequence",GCF_002237025.1_ASM223702v1_genomic.fna,NZ_MVGV01000001.1,aeruginosa,REFSEQ,1,1_MVGV01000001,43,41,31,29,25,22,6350180,6348837,6323049,6312359,6230204,6117621,43,679952,6350180,352131,241932,6,12,5.37
"Pseudomonas aeruginosa strain Jp1170 IPC759_1.1, whole genome shotgun sequence",GCF_003976165.1_ASM397616v1_genomic.fna,NZ_RXCZ01000001.1,aeruginosa,REFSEQ,1,1_RXCZ01000001,68,68,58,53,44,37,6914139,6914139,6885254,6854658,6674251,6419640,68,640723,6914139,208892,118291,10,21,2.85
"Pseudomonas aeruginosa strain JYH9 IPC1220_1.1, whole genome shotgun sequence",GCF_003975005.1_ASM397500v1_genomic.fna,NZ_RXBX01000001.1,aeruginosa,REFSEQ,1,1_RXBX01000001,36,33,26,24,22,21,6488364,6486226,6468107,6455686,6428540,6391590,36,1020809,6488364,683844,261676,4,8,1.8
"Pseudomonas aeruginosa strain AUS441 IPC476_1.1, whole genome shotgun sequence",GCF_003838785.1_ASM383878v1_genomic.fna,NZ_NSWI01000001.1,aeruginosa,REFSEQ,1,1_NSWI01000001,63,55,45,38,30,26,6802456,6796223,6768260,6722250,6589224,6438064,63,935426,6802456,377150,219130,6,12,3.95
"Pseudomonas aeruginosa strain SCH_ABX09 ABX09_contig000001, whole genome shotgun sequence",GCF_002001225.1_ASM200122v1_genomic.fna,NZ_MVBP01000001.1,aeruginosa,REFSEQ,1,1_MVBP01000001,65,52,42,39,37,28,6357928,6348647,6330377,6311469,6273835,5931904,65,819774,6357928,242717,134099,7,16,0.0
"Pseudomonas sp. 286 isolate p13.C1, whole genome shotgun sequence",GCF_900582005.1_p13.C1_genomic.fna,NZ_UTGJ01000101.1,sp.,REFSEQ,4,4_UTGJ01000101,101,27,21,21,20,19,6003837,5979366,5967876,5967876,5947881,5909481,29,875460,5980835,410940,231755,5,9,0.0
"Pseudomonas sp. GP01-A6 NODE_100_length_24936_cov_39.1879, whole genome shotgun sequence",GCF_002881835.1_GP01-A6_genomic.fna,NZ_PODU01000100.1,sp.,REFSEQ,4,4_PODU01000100,226,181,162,139,99,55,7372410,7356969,7304820,7133025,6449705,4771186,186,246511,7360410,64299,41097,36,72,0.0
"Pseudomonas japonica strain DSM 22348, whole genome shotgun sequence",GCF_900188455.1_IMG-taxon_2700988710_annotated_assembly_genomic.fna,NZ_FZOL01000060.1,japonica,REFSEQ,103,103_FZOL01000060,61,61,50,48,43,36,6718608,6718608,6691816,6677981,6600460,6356537,61,532373,6718608,196010,131836,11,21,7.16
"Pseudomonas aeruginosa strain W16407, complete genome",GCF_001516165.2_ASM151616v2_genomic.fna,NZ_CP008869.2,aeruginosa,REFSEQ,1,1_CP008869,1,1,1,1,1,1,6808844,6808844,6808844,6808844,6808844,6808844,1,6808844,6808844,6808844,6808844,1,1,0.0
"Pseudomonas aeruginosa strain 585 scaffold_0, whole genome shotgun sequence",GCF_002312465.1_ASM231246v1_genomic.fna,NZ_MWYL01000001.1,aeruginosa,REFSEQ,1,1_MWYL01000001,37,33,28,26,23,18,6310137,6307309,6297522,6286824,6235501,6019348,37,842775,6310137,422350,344587,6,10,1.82
"Pseudomonas aeruginosa strain M58 NODE_10_length_181722_cov_20.2325, whole genome shotgun sequence",GCF_004123435.1_ASM412343v1_genomic.fna,NZ_SDVR01000010.1,aeruginosa,REFSEQ,1,1_SDVR01000010,69,67,52,46,45,39,6464671,6463076,6424295,6381141,6358214,6116007,69,442988,6464671,172313,106251,11,23,6.08
"Pseudomonas sp. 286 isolate p4.B3, whole genome shotgun sequence",GCF_900590705.1_p4.B3_genomic.fna,NZ_UUNX01000039.1,sp.,REFSEQ,4,4_UUNX01000039,40,20,17,17,17,16,5944625,5938206,5932112,5932112,5932112,5885543,24,1881211,5940641,542608,222846,3,7,0.0
"Pseudomonas rhodesiae strain DSM 14020 10_202291_35.0929, whole genome shotgun sequence",GCF_007858255.1_ASM785825v1_genomic.fna,NZ_VFEU01000010.1,rhodesiae,REFSEQ,128,128_VFEU01000010,82,77,55,49,44,34,6333130,6330135,6293288,6245844,6160537,5830555,82,523635,6333130,239322,88253,8,19,0.0
"Pseudomonas aeruginosa isolate 226, whole genome shotgun sequence",GCF_900145685.1_226_genomic.fna,NZ_FRMS01000067.1,aeruginosa,REFSEQ,1,1_FRMS01000067,67,60,45,41,39,30,6423657,6419546,6386749,6358295,6327301,5992771,64,707287,6422373,245089,120796,9,17,0.0
"Pseudomonas aeruginosa isolate 324, whole genome shotgun sequence",GCF_900146535.1_324_genomic.fna,NZ_FRPZ01000109.1,aeruginosa,REFSEQ,1,1_FRPZ01000109,110,88,70,62,50,39,6780050,6765300,6723747,6675811,6474509,6074748,105,389073,6777756,196356,92832,13,25,0.0
"Pseudomonas aeruginosa strain 4104355340-15 IPC1510_1.1, whole genome shotgun sequence",GCF_004371075.1_ASM437107v1_genomic.fna,NZ_RWMI01000001.1,aeruginosa,REFSEQ,1,1_RWMI01000001,53,49,45,39,34,29,7050445,7047627,7037672,6991349,6911676,6736680,53,757197,7050445,334771,194125,8,14,2.21
"Pseudomonas sp. 286 isolate p9.H1, whole genome shotgun sequence",GCF_900602945.1_p9.H1_genomic.fna,NZ_UWIT01000067.1,sp.,REFSEQ,4,4_UWIT01000067,69,16,16,15,14,14,5988172,5971315,5971315,5965904,5944414,5944414,17,1049154,5971870,645715,352104,4,7,0.0
"Pseudomonas aeruginosa strain AZPAE14813 AZPAE14813_contig_1, whole genome shotgun sequence",GCF_000795085.1_AZPAE14813_genomic.fna,NZ_JTVV01000001.1,aeruginosa,REFSEQ,1,1_JTVV01000001,121,94,58,51,47,33,6470062,6449786,6381814,6331199,6268835,5721438,121,750345,6470062,171071,110327,10,22,77.19
"Pseudomonas syringae pv. pisi strain 1456A NODE_100_length_1239_cov_8.24011_ID_7499, whole genome shotgun sequence",GCF_003205935.1_ASM320593v1_genomic.fna,NZ_QJTW01000100.1,syringae,REFSEQ,0,0_QJTW01000100,561,129,69,58,45,32,6463360,6242240,6154991,6075063,5840063,5357804,266,546997,6338916,167434,87679,10,24,0.0
"Pseudomonas putida KG-4 contig00001, whole genome shotgun sequence",GCF_000987155.1_ASM98715v1_genomic.fna,NZ_AYRY01000001.1,putida,REFSEQ,22,22_AYRY01000001,91,74,63,55,40,29,5586914,5580316,5558655,5503721,5247760,4846750,78,785633,5582999,150980,87918,9,20,0.0
"Pseudomonas aeruginosa strain AUS225 IPC251_1.1, whole genome shotgun sequence",GCF_003839785.1_ASM383978v1_genomic.fna,NZ_NSZC01000001.1,aeruginosa,REFSEQ,1,1_NSZC01000001,36,34,29,22,21,16,6404192,6402604,6390583,6344770,6328679,6132288,36,1358326,6404192,527921,324614,4,8,0.97
"Pseudomonas aeruginosa isolate 2.5% 8, whole genome shotgun sequence",GCF_001374495.1_215_2_5Pc_8_contigs_500_genomic.fna,NZ_CUXB01000001.1,aeruginosa,REFSEQ,1,1_CUXB01000001,78,66,47,41,38,34,6486779,6477990,6434840,6397023,6351564,6187583,78,480256,6486779,210976,136431,10,19,0.0
"Pseudomonas sp. 286 isolate p3.B12, whole genome shotgun sequence",GCF_900589975.1_p3.B12_genomic.fna,NZ_UUKZ01000271.1,sp.,REFSEQ,4,4_UUKZ01000271,273,68,59,53,47,40,6302781,6225923,6201866,6159133,6054687,5818995,89,347279,6239848,167375,107328,14,25,0.08
"Pseudomonas sp. 286 isolate p25.C3, whole genome shotgun sequence",GCF_900587425.1_p25.C3_genomic.fna,NZ_UUBE01000054.1,sp.,REFSEQ,4,4_UUBE01000054,55,49,44,39,34,31,5981941,5980231,5967351,5930469,5841528,5711777,49,518091,5980231,231287,146246,10,18,0.02
"Pseudomonas syringae pv. actinidiae strain NZ35 BV353_1, whole genome shotgun sequence",GCF_002111925.1_ASM211192v1_genomic.fna,NZ_MTYX01000001.1,syringae,REFSEQ,0,0_MTYX01000001,330,282,191,154,84,39,6284274,6249321,6037600,5775840,4575934,2956708,330,142263,6284274,46155,23215,43,90,0.48
"Pseudomonas aeruginosa strain JYH21 IPC1232_1.1, whole genome shotgun sequence",GCF_003975825.1_ASM397582v1_genomic.fna,NZ_RXBR01000001.1,aeruginosa,REFSEQ,1,1_RXBR01000001,33,31,26,25,23,20,6511993,6510674,6498419,6490001,6458431,6342645,33,782985,6511993,426899,232795,5,10,1.04
"Pseudomonas syringae pv. actinidiae str. CRAFRU8.43 contig370, whole genome shotgun sequence",GCF_000233815.1_ASM23381v2_genomic.fna,NZ_AFTG01000585.1,syringae,REFSEQ,0,0_AFTG01000585,585,477,308,206,73,14,6143194,6091056,5662838,4923338,2824478,830808,523,85982,6124691,22372,12272,84,177,0.0
"Pseudomonas aeruginosa strain AZPAE14883 AZPAE14883_contig_1, whole genome shotgun sequence",GCF_000790645.1_AZPAE14883_genomic.fna,NZ_JTTF01000001.1,aeruginosa,REFSEQ,1,1_JTTF01000001,161,130,55,43,37,31,6309393,6286176,6099528,6019016,5898666,5651688,161,489428,6309393,220365,105158,10,20,162.93
"Pseudomonas lactis strain UKR1 NODE_1015_length_5461_cov_173.523895, whole genome shotgun sequence",GCF_008632325.1_ASM863232v1_genomic.fna,NZ_VWXW01000669.1,lactis,REFSEQ,62,62_VWXW01000669,1139,1139,411,137,17,3,6257067,6257067,4270324,2369416,615428,158551,1139,53476,6257067,7493,4263,225,503,0.0
"Pseudomonas aeruginosa strain MED01 O70H6_S188_R1__paired__contig_1, whole genome shotgun sequence",GCF_005863515.1_ASM586351v1_genomic.fna,NZ_VAUX01000001.1,aeruginosa,REFSEQ,1,1_VAUX01000001,178,110,83,71,62,43,7252711,7224174,7165604,7090293,6921752,6188552,127,555231,7237146,159882,82721,16,32,78.01
"Pseudomonas avellanae strain ICMP 3690 scaffold1, whole genome shotgun sequence",GCF_002699825.1_ASM269982v1_genomic.fna,NZ_LKBV01000001.1,avellanae,REFSEQ,44,44_LKBV01000001,311,175,118,98,67,48,6341455,6290383,6138547,6004197,5485767,4770688,209,267979,6313681,85685,50001,24,48,6.72
"Pseudomonas sp. 286 isolate p2.C4, whole genome shotgun sequence",GCF_900589285.1_p2.C4_genomic.fna,NZ_UUIJ01000119.1,sp.,REFSEQ,4,4_UUIJ01000119,119,29,26,23,21,20,5979179,5949367,5941736,5922248,5883156,5837925,29,766919,5949367,375754,254522,6,11,0.03
"Pseudomonas sp. 286 isolate p26.C7, whole genome shotgun sequence",GCF_900588265.1_p26.C7_genomic.fna,NZ_UUEL01000022.1,sp.,REFSEQ,4,4_UUEL01000022,48,44,43,42,35,30,5917625,5916754,5913331,5907694,5788926,5609534,44,717120,5916754,226179,133322,9,17,0.24
"Pseudomonas lundensis strain AU14541 Contig1, whole genome shotgun sequence",GCF_001806125.1_ASM180612v1_genomic.fna,NZ_MLCU01000001.1,lundensis,REFSEQ,18,18_MLCU01000001,99,77,55,48,40,32,5138301,5125048,5079441,5028120,4893626,4598882,91,570452,5135564,142034,92119,11,22,0.08
"Pseudomonas aeruginosa strain WH-SGI-V-07245 WH-SGI-V-07245_contig1, whole genome shotgun sequence",GCF_001450095.1_WH-SGI-V-07245_genomic.fna,NZ_LLNQ01000001.1,aeruginosa,REFSEQ,1,1_LLNQ01000001,45,34,29,27,23,19,6832394,6828105,6816924,6806441,6733740,6572176,36,778091,6829345,642280,284393,5,9,0.0
"Pseudomonas aeruginosa strain PA_286 NODE_10_length_234800_cov_30.215207, whole genome shotgun sequence",GCF_003936225.1_ASM393622v1_genomic.fna,NZ_RHSD01000010.1,aeruginosa,REFSEQ,1,1_RHSD01000010,75,59,41,39,37,33,6366319,6356064,6312151,6298890,6263368,6104237,75,572175,6366319,237533,132166,9,18,3.77
"Pseudomonas aeruginosa strain PSE305, genome",GCF_000750905.1_PSE305_genomic.fna,NZ_HG974234.1,aeruginosa,REFSEQ,1,1_HG974234,1,1,1,1,1,1,6762448,6762448,6762448,6762448,6762448,6762448,1,6762448,6762448,6762448,6762448,1,1,1156.61
"Pseudomonas sp. FW306-02-H05-BA NODE_100_length_286_cov_1.36364, whole genome shotgun sequence",GCF_002884255.1_FW306-02-H05-BA_genomic.fna,NZ_POHG01000100.1,sp.,REFSEQ,4,4_POHG01000100,156,84,73,70,61,42,6366404,6342694,6315496,6294495,6158926,5420656,93,341788,6349069,135203,77446,16,32,0.0
"Pseudomonas brassicacearum strain 93F8 93F8_Joined_contig_1, whole genome shotgun sequence",GCF_003732165.1_ASM373216v1_genomic.fna,NZ_MOBF01000032.1,brassicacearum,REFSEQ,24,24_MOBF01000032,36,29,25,25,25,24,6762461,6757352,6752296,6752296,6752296,6722848,36,721678,6762461,409550,220985,6,12,17.11
"Pseudomonas psychrotolerans strain SB18 contig_1, whole genome shotgun sequence",GCF_001476445.1_ASM147644v1_genomic.fna,NZ_LDSX01000001.1,psychrotolerans,REFSEQ,60,60_LDSX01000001,173,88,73,66,55,38,5339485,5280036,5255981,5204240,5024211,4413697,173,285906,5339485,104148,63214,16,31,0.0
"Pseudomonas sp. 286 isolate p8.C8, whole genome shotgun sequence",GCF_900601605.1_p8.C8_genomic.fna,NZ_UWDV01000076.1,sp.,REFSEQ,4,4_UWDV01000076,76,20,17,17,17,14,5935286,5915668,5909131,5909131,5909131,5786499,25,848640,5918458,672409,274594,4,8,0.0
"Pseudomonas aeruginosa isolate XDR-PA, whole genome shotgun sequence",GCF_900707125.1_AND04-003_genomic.fna,NZ_CAADKG010000001.1,aeruginosa,REFSEQ,1,1_CAADKG010000001,1920,1088,432,198,26,1,7124310,6544789,5107858,3455934,887505,53084,1920,53084,7124310,9431,4220,209,484,0.0
"Pseudomonas sp. 286 isolate p4.F8, whole genome shotgun sequence",GCF_900591125.1_p4.F8_genomic.fna,NZ_UUPO01000056.1,sp.,REFSEQ,4,4_UUPO01000056,56,34,28,27,26,22,6034856,6025852,6013425,6006980,5987787,5843609,40,765580,6029726,363269,218278,6,11,0.0
"Pseudomonas aeruginosa strain ENV-570 PA4_B4_NODE_100_length_2201_cov_76.6855_ID_199, whole genome shotgun sequence",GCF_003632575.1_ASM363257v1_genomic.fna,NZ_QZXR01000074.1,aeruginosa,REFSEQ,1,1_QZXR01000074,131,131,85,73,53,40,6696536,6696536,6596855,6517428,6187351,5726418,131,665805,6696536,142808,76131,13,29,0.0
"Pseudomonas sp. 286 isolate p3.G11, whole genome shotgun sequence",GCF_900590465.1_p3.G11_genomic.fna,NZ_UUMT01000298.1,sp.,REFSEQ,4,4_UUMT01000298,298,25,19,18,17,16,5712127,5619355,5607008,5600245,5581724,5543607,30,819351,5622228,425656,288908,5,9,0.0
"Pseudomonas sp. GW247-5R2A NODE_100_length_1242_cov_68.727, whole genome shotgun sequence",GCF_002884075.1_GW247-5R2A_genomic.fna,NZ_POGH01000100.1,sp.,REFSEQ,4,4_POGH01000100,191,102,96,91,78,53,6969289,6941200,6928956,6896430,6686181,5726796,113,368987,6947990,101107,63564,22,44,0.0
"Pseudomonas aeruginosa strain 9 IPC1591_1.1, whole genome shotgun sequence",GCF_004370895.1_ASM437089v1_genomic.fna,NZ_RWLM01000001.1,aeruginosa,REFSEQ,1,1_RWLM01000001,61,54,44,41,38,29,7042773,7037412,7010776,6986724,6925340,6567634,61,734508,7042773,352566,167180,7,15,1.8
"Pseudomonas aeruginosa strain PA-NM-088 NODE_100_length_2376_cov_27.7825, whole genome shotgun sequence",GCF_006704245.1_ASM670424v1_genomic.fna,NZ_VIGZ01000100.1,aeruginosa,REFSEQ,1,1_VIGZ01000100,222,132,86,71,59,43,7201493,7159034,7054889,6952832,6748157,6147864,166,485040,7182390,155339,73825,14,32,0.0
"Pseudomonas sp. 286 isolate p11.G8, whole genome shotgun sequence",GCF_900581035.1_p11.G8_genomic.fna,NZ_UTCN01000179.1,sp.,REFSEQ,4,4_UTCN01000179,180,26,21,20,19,16,5979508,5927100,5916939,5910160,5891472,5778172,32,706111,5930583,463625,321710,6,9,0.0
"Pseudomonas aeruginosa isolate 306, whole genome shotgun sequence",GCF_900146355.1_306_genomic.fna,NZ_FRPH01000139.1,aeruginosa,REFSEQ,1,1_FRPH01000139,139,123,107,98,73,46,6513848,6503436,6465039,6398094,5949411,4976601,134,328542,6511513,90556,50850,21,45,0.0
"Pseudomonas sp. 286 isolate p3.A7, whole genome shotgun sequence",GCF_900589935.1_p3.A7_genomic.fna,NZ_UUKW01000030.1,sp.,REFSEQ,4,4_UUKW01000030,32,20,17,17,17,16,5942795,5938737,5932543,5932543,5932543,5905699,23,1213910,5940570,639923,237812,4,7,0.0
